scientificName,PopulationSize.range
Ficedula subrubra,1500-7000
Ficedula basilanica,2500-9999
Ficedula platenae,6000-15000
Cyornis sanfordi,6000-15000
Cyornis ruckii,1-49
Cyornis caerulatus,6000-15000
Swynnertonia swynnertoni,2500-9999
Sheppardia montana,NA
Sheppardia lowei,6000-15000
Kittacincla cebuensis,670-3300
Aplonis pelzelni,1-49
Aplonis cinerascens,600-1700
Poeoptera femoralis,2500-9999
Sturnornis albofrontatus,2500-9999
Sitta victoriae,2500-9999
Eurochelidon sirintarae,1-49
Tachycineta euchrysea,1500-7000
Hirundo megaensis,2500-9999
Pycnonotus taivanus,10000-19999
Pycnonotus xantholaemus,2500-9999
Chlorocichla prigoginei,2500-9999
Xanthomixis apperti,600-1700
Setornis criniger,10000-19999
Hypsipetes parvirostris,2500-9999
Hypsipetes olivaceus,560
Prinia cinereocapilla,6000-15000
Zosterops melanocephalus,6000-15000
Zosterops brunneus,6000-15000
Zosterops mouroniensis,1500-7000
Zosterops griseovirescens,600-1700
Zosterops splendidus,2500-9999
Zosterops luteirostris,250-999
Zosterops samoensis,1000-2499
Rukia ruki,350
Madanga ruficollis,2500-9999
Bradypterus graueri,NA
Bradypterus sylvaticus,2500-9999
Acrocephalus rehsei,3000
Acrocephalus familiaris,250-999
Newtonia fanovanae,2500-9999
Macrosphenus pulitzeri,1000-2499
Phylloscopus ijimae,2500-9999
Phylloscopus amoenus,470-870
Hyliota usambara,600-1700
Schoenicola platyurus,2500-9999
Garrulax sukatschewi,2500-9999
Arcanator orostruthus,6000-15000
Pellorneum palustre,10000-19999
Ptilocichla leucogrammica,10000-19999
Ptilocichla falcata,10000-19999
Zosterornis nigrorum,600-1700
Chatarrhaea longirostris,1500-7000
Turdoides hindei,1250-4500
Schoeniparus variegaticeps,2500-9999
Paradoxornis flavirostris,1500-7000
Sinosuthora przewalskii,2500-9999
Mirafra ashi,2500-9999
Dicaeum retrocinctum,6000-15000
Hedydipna pallidigaster,1500-7000
Cinnyris loveridgei,NA
Cinnyris rockefelleri,250-999
Cinnyris rufipennis,6000-15000
Aethopyga duyvenbodei,13000-29000
Macronyx sharpei,6000-15000
Anthus sokokensis,1600-3400
Anthus nilghiriensis,2500-9999
Ploceus bannermani,6000-15000
Ploceus batesi,250-999
Ploceus subpersonatus,2500-9999
Ploceus golandi,2000-4000
Ploceus aureonucha,250-999
Ploceus nicolli,600-1700
Ploceus flavipes,2500-9999
Malimbus ibadanensis,930-2900
Foudia rubra,160-220
Erythrura kleinschmidti,2500-9999
Lonchura vana,1500-7000
Crithagra flavigula,250-999
Crithagra xantholaema,2500-9999
Spinus siemiradzkii,1500-7000
Linaria johannis,250-999
Loxioides bailleui,1000-2499
Pseudonestor xanthophrys,250-540
Chlorodrepanis stejnegeri,NA
Magumma parva,10000-19999
Hemignathus wilsoni,800
Manucerthia mana,2500-9999
Paroreomyza montana,20000-49999
Paroreomyza maculata,1-7
Loxops coccineus,9300
Palmeria dolei,3800
Emberiza sulphurata,2500-9999
