assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11244766,55040,Aromobates nocturnus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Aromobates,nocturnus,NA,NA,NA,"Myers, Paolillo-O. &amp; Daly, 1991",Critically Endangered,A2a; B2ab(v),3.1,Decreasing,Global
11245440,55046,Hyloxalus anthracinus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Hyloxalus,anthracinus,NA,NA,NA,"(Edwards, 1971)",Critically Endangered,A2ac,3.1,Decreasing,Global
11247094,55065,Hyloxalus cevallosi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Hyloxalus,cevallosi,NA,NA,NA,"(Rivero, 1991)",Endangered,B1ab(iii),3.1,Decreasing,Global
11247344,55066,Allobates chalcopis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Allobates,chalcopis,NA,NA,NA,"(Kaiser, Coloma &amp; Gray, 1994)",Vulnerable,D2,3.1,Stable,Global
11248293,55072,Prostherapis dunni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Prostherapis,dunni,NA,NA,NA,"Rivero, 1961",Critically Endangered,A2ace,3.1,Decreasing,Global
11248911,55100,Allobates kingsburyi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Allobates,kingsburyi,NA,NA,NA,"(Boulenger, 1918)",Endangered,B1ab(iii),3.1,Decreasing,Global
11249362,55159,Hyloxalus toachi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Hyloxalus,toachi,NA,NA,NA,"(Coloma, 1995)",Endangered,B1ab(iii),3.1,Decreasing,Global
11250110,55104,Aromobates leopardalis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Aromobates,leopardalis,NA,NA,NA,"(Rivero, 1978)",Critically Endangered,A2ace; B2ab(v),3.1,Decreasing,Global
11250657,55173,Oophaga arborea,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Oophaga,arborea,NA,NA,NA,"(Myers, Daly and MartÃ­nez, 1984)",Endangered,B1ab(iii),3.1,Unknown,Global
11251397,55108,Allobates mandelorum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Allobates,mandelorum,NA,NA,NA,"(Schmidt, 1932)",Endangered,B1ab(iii),3.1,Decreasing,Global
11253488,55117,Anomaloglossus murisipanensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Anomaloglossus,murisipanensis,NA,NA,NA,"(La Marca, 1997)",Vulnerable,D2,3.1,Stable,Global
11253972,55186,Oophaga granulifera,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Oophaga,granulifera,NA,NA,NA,"(Taylor, 1958)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11255268,55122,Allobates olfersioides,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Allobates,olfersioides,NA,NA,NA,"(Lutz, 1925)",Vulnerable,A2a; B2ab(iii),3.1,Decreasing,Global
11260819,55146,Aromobates saltuensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,AROMOBATIDAE,Aromobates,saltuensis,NA,NA,NA,"(Rivero, 1980)",Endangered,B1ab(iii),3.1,Stable,Global
